Service,Feature,Status
AWS Cloud Map,DiscoverInstances operation per account steady rate,Available in both
AWS Cloud Map,DiscoverInstances operation per account burst rate,Available in both
AWS Cloud Map,Namespaces per Region,Available in both
AWS Cloud Map,DiscoverInstancesRevision operation per account rate,Available in both
Access Analyzer,Organization level analyzer,"Available in source, Not Available in target"
Access Analyzer,Archive rules per analyzer,"Available in source, Not Available in target"
Access Analyzer,CloudTrail log files processed per policy generation,"Available in source, Not Available in target"
Access Analyzer,Access previews per analyzer per hour,"Available in source, Not Available in target"
Access Analyzer,Policy generation CloudTrail time range,"Available in source, Not Available in target"
Access Analyzer,Policy generation CloudTrail data size,"Available in source, Not Available in target"
Access Analyzer,Concurrent policy generations,"Available in source, Not Available in target"
Access Analyzer,Account level analyzer,"Available in source, Not Available in target"
Access Analyzer,Policy generations per day,"Available in source, Not Available in target"
AWS Private Certificate Authority,Number of revoked private certificates per CA,Available in both
AWS Private Certificate Authority,Rate of GetPolicy requests,"Available in source, Not Available in target"
AWS Private Certificate Authority,Rate of DescribeCertificateAuthorityAuditReport requests,"Available in source, Not Available in target"
AWS Private Certificate Authority,Rate of ImportCertificateAuthorityCertificate requests,Available in both
AWS Private Certificate Authority,Rate of CreateCertificateAuthorityAuditReport requests,Available in both
AWS Private Certificate Authority,Rate of IssueCertificate requests,"Available in source, Not Available in target"
AWS Private Certificate Authority,Rate of DeletePolicy requests,"Available in source, Not Available in target"
AWS Private Certificate Authority,Rate of GetCertificate requests,"Available in source, Not Available in target"
AWS Private Certificate Authority,Rate of PutPolicy requests,Available in both
Amazon Managed Workflows for Apache Airflow,Environments per account per Region,"Available in source, Not Available in target"
Amazon Managed Workflows for Apache Airflow,Workers per environment,"Available in source, Not Available in target"
AWS Amplify,Environment cache artifact size,"Available in source, Not Available in target"
AWS Amplify,Webhooks per app,"Available in source, Not Available in target"
AWS Amplify,Build artifact size,"Available in source, Not Available in target"
AWS Amplify,Apps,"Available in source, Not Available in target"
AWS Amplify,Cache artifact size,"Available in source, Not Available in target"
AWS Amplify,Maximum app creations per hour,"Available in source, Not Available in target"
AWS Amplify,Subdomains per domain,"Available in source, Not Available in target"
AWS Amplify,Manual deploy ZIP file size,"Available in source, Not Available in target"
AWS Amplify,Branches per app,"Available in source, Not Available in target"
AWS Amplify,Concurrent jobs,"Available in source, Not Available in target"
AWS Amplify,Domains per app,"Available in source, Not Available in target"
Amazon API Gateway,Stage Variable Key Length,"Available in source, Not Available in target"
Amazon API Gateway,Maximum API caching TTL,"Available in source, Not Available in target"
Amazon API Gateway,Maximum integration timeout in milliseconds,"Available in source, Not Available in target"
Amazon API Gateway,WebSocket frame size,"Available in source, Not Available in target"
Amazon API Gateway,WebSocket message payload size,"Available in source, Not Available in target"
Amazon API Gateway,Resources/Routes per REST/WebSocket API,"Available in source, Not Available in target"
Amazon API Gateway,VPC links,"Available in source, Not Available in target"
Amazon API Gateway,Maximum resource policy size in bytes,"Available in source, Not Available in target"
Amazon API Gateway,Subnets per VPC link(V2),"Available in source, Not Available in target"
Amazon API Gateway,API Payload Size,"Available in source, Not Available in target"
Amazon API Gateway,Edge-optimized APIs,"Available in source, Not Available in target"
Amazon API Gateway,Throttle burst rate,"Available in source, Not Available in target"
Amazon API Gateway,Stage variables per stage,"Available in source, Not Available in target"
Amazon API Gateway,AWS Lambda authorizer result size,"Available in source, Not Available in target"
Amazon API Gateway,WebSocket Idle Connection Timeout,"Available in source, Not Available in target"
Amazon API Gateway,Custom Domain Names,"Available in source, Not Available in target"
Amazon API Gateway,WebSocket new connections burst rate,"Available in source, Not Available in target"
Amazon API Gateway,Maximum Combined Header Size,"Available in source, Not Available in target"
Amazon API Gateway,Private APIs,"Available in source, Not Available in target"
Amazon Connect Application Integrations,Data integration associations per data integration,"Available in source, Not Available in target"
Amazon Connect Application Integrations,Event integration associations per event integration,"Available in source, Not Available in target"
Amazon Connect Application Integrations,Event integrations per Region,"Available in source, Not Available in target"
Amazon Connect Application Integrations,Data integrations per Region,"Available in source, Not Available in target"
AWS AppConfig,Configuration size limit in AWS AppConfig hosted configuration store,Available in both
AWS AppConfig,Maximum number of environments per application,Available in both
AWS AppConfig,Maximum number of configuration profiles per application,Available in both
AWS AppConfig,Maximum number of deployment strategies,Available in both
AWS AppConfig,Deployment size limit,Available in both
AWS AppConfig,Maximum number of applications,Available in both
Application Auto Scaling,Step adjustments per step scaling policy,Available in both
Application Auto Scaling,Scaling policies per scalable target,Available in both
Application Auto Scaling,Scalable targets for AppStream,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for DynamoDB,Available in both
Application Auto Scaling,Scalable targets for Amazon Keyspaces,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for EMR,Available in both
Application Auto Scaling,Scalable targets for Comprehend,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for RDS,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for Amazon MSK,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for EC2,"Available in source, Not Available in target"
Application Auto Scaling,Scheduled actions per scalable target,Available in both
Application Auto Scaling,Scalable targets for ECS,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for custom resources,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for Amazon ElastiCache,Available in both
Application Auto Scaling,Scalable targets for Lambda,"Available in source, Not Available in target"
Application Auto Scaling,Scalable targets for SageMaker,"Available in source, Not Available in target"
AWS App Mesh,Connected Envoy processes per virtual node,"Available in source, Not Available in target"
AWS App Mesh,Meshes per account,"Available in source, Not Available in target"
AWS App Mesh,Backends per virtual node,"Available in source, Not Available in target"
AWS App Mesh,Virtual nodes per mesh,"Available in source, Not Available in target"
AWS App Mesh,Weighted targets per route,"Available in source, Not Available in target"
AWS App Mesh,Routes per virtual router,"Available in source, Not Available in target"
AWS App Mesh,Virtual services per mesh,"Available in source, Not Available in target"
AWS App Mesh,Gateway routes per virtual gateway,"Available in source, Not Available in target"
AWS App Mesh,Virtual gateways per mesh,"Available in source, Not Available in target"
AWS App Mesh,Connected Envoy processes per virtual gateway,"Available in source, Not Available in target"
AWS App Mesh,Virtual routers per mesh,"Available in source, Not Available in target"
AWS App Runner,Services,"Available in source, Not Available in target"
AWS App Runner,VPC ingress connections,"Available in source, Not Available in target"
AWS App Runner,Connections,"Available in source, Not Available in target"
AWS App Runner,Observability configurations,"Available in source, Not Available in target"
AWS App Runner,VPC connectors,"Available in source, Not Available in target"
AWS App Runner,Auto scaling configurations,"Available in source, Not Available in target"
AWS AppSync,Subscriptions per connection,Available in both
